primaryTitle,startYear,numVotes,averageRating
Dil To Pagal Hai,1997,25719,7.0
Pardes,1997,16765,6.9
Selena,1997,33101,6.9
Yes Boss,1997,14819,6.7
The Last Days of Disco,1998,14921,6.7
The Legend of 1900,1998,71854,8.0
The Red Violin,1998,35228,7.6
Velvet Goldmine,1998,39540,6.9
The Wedding Singer,1998,168981,6.9
The Crazy Stranger,1997,8643,7.6
SLC Punk!,1998,34870,7.4
High Fidelity,2000,195803,7.4
Little Voice,1998,17567,7.0
Still Crazy,1998,9202,7.0
Hilary and Jackie,1998,11008,7.3
Straight from the Heart,1999,20579,7.4
Sweet and Lowdown,1999,37543,7.2
Trick,1999,9766,7.2
Detroit Rock City,1999,42347,6.8
Liberty Heights,1999,7245,7.0
Music of the Heart,1999,13629,6.7
Dancer in the Dark,2000,121253,7.9
Lagaan: Once Upon a Time in India,2001,124959,8.1
Kuch Kuch Hota Hai,1998,60029,7.5
Raju Ban Gaya Gentleman,1992,8676,6.7
Mr. Muhsin,1987,12426,8.4
Buena Vista Social Club,1999,21497,7.6
Human Traffic,1999,28508,7.1
Moulin Rouge!,2001,308410,7.6
Center Stage,2000,23503,6.7
Berlin Calling,2008,15597,7.2
Mohabbatein,2000,35572,7.1
Bamboozled,2000,12796,6.7
Chachi 420,1997,13947,7.4
Kaho Naa... Pyaar Hai,2000,17435,6.9
Devdas,2002,49526,7.5
Alai Payuthey,2000,8085,8.3
Kabhi Khushi Kabhie Gham...,2001,60171,7.4
Hedwig and the Angry Inch,2001,38498,7.7
Billy Elliot,2000,148561,7.7
The Pianist,2002,974849,8.5
The Piano Teacher,2001,76760,7.5
Dudes,2001,8421,7.9
8 Women,2002,35450,7.0
The Phantom of the Opera,2004,135228,7.2
Rent,2005,57272,6.8
All About Lily Chou-Chou,2001,12932,7.5
8 Mile,2002,340445,7.2
Rehnaa Hai Terre Dil Mein,2001,9815,7.5
Chicago,2002,251194,7.2
A Mighty Wind,2003,30371,7.2
Life Is a Miracle,2004,13697,7.5
School of Rock,2003,347150,7.2
Tupac: Resurrection,2003,9965,7.9
Kal Ho Naa Ho,2003,79031,7.9
Ray,2004,162035,7.7
De-Lovely,2004,12182,6.6
Walk the Line,2005,275391,7.8
Beyond the Sea,2004,15899,6.7
Tenacious D in the Pick of Destiny,2006,117807,6.8
Swades,2004,102438,8.2
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,17120,7.8
I'm Not There,2007,62841,6.8
The Chorus,2004,69882,7.8
Ladies in Lavender,2004,13364,7.0
Don't Come Knocking,2005,8117,6.6
Coffee and Cigarettes,2003,69444,7.0
As It Is in Heaven,2004,18814,7.5
The Music Man,2007,9733,7.5
Terkel in Trouble,2004,12702,7.1
Metallica: Some Kind of Monster,2004,20808,7.5
Sweeney Todd: The Demon Barber of Fleet Street,2007,399000,7.3
Hustle & Flow,2005,44655,7.3
