primaryTitle,startYear,numVotes,averageRating
Horton Hears a Who!,2008,155290,6.8
Mind Game,2004,11500,7.7
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,14733,6.7
Enchanted,2007,224932,7.1
The Simpsons Movie,2007,358375,7.3
9,2009,153548,7.0
Madagascar: Escape 2 Africa,2008,261547,6.6
The Croods,2013,244160,7.1
Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,12593,7.3
The Secret of Kells,2009,39803,7.5
The Illusionist,2010,37171,7.4
The Princess and the Frog,2009,179357,7.2
The Boxtrolls,2014,63533,6.8
Persepolis,2007,103401,8.0
The Girl Who Leapt Through Time,2006,73730,7.6
Tekkonkinkreet,2006,15168,7.5
Hotel Transylvania,2012,299672,7.0
Cloudy with a Chance of Meatballs,2009,274309,6.9
Epic,2013,112605,6.6
Paprika,2006,105870,7.7
Evangelion: 2.0 You Can (Not) Advance,2009,27129,7.9
Evangelion: 3.0 You Can (Not) Redo,2012,20413,6.9
Mr. Peabody & Sherman,2014,81621,6.7
Ponyo,2008,176788,7.6
How to Train Your Dragon,2010,856587,8.1
WALL·E,2008,1269960,8.4
Evangelion: 1.0 You Are (Not) Alone,2007,29906,7.5
A Monster in Paris,2011,23581,6.7
Mary and Max,2009,197287,8.1
The Adventures of Tintin,2011,250076,7.3
5 Centimeters per Second,2007,68114,7.4
Megamind,2010,312209,7.3
Up,2009,1190232,8.3
Ne Zha,2019,14445,7.4
A Christmas Carol,2009,136102,6.8
Entergalactic,2022,18488,7.3
Ice Age: Dawn of the Dinosaurs,2009,277302,6.9
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,85918,8.2
My Hero Academia: Heroes Rising,2019,11265,7.8
Sword of the Stranger,2007,19159,7.7
Frankenweenie,2012,122637,6.9
The Witcher: Nightmare of the Wolf,2021,53737,7.2
The House,2022,24505,6.8
Waltz with Bashir,2008,61897,8.0
Rango,2011,307446,7.3
A Whisker Away,2020,16377,6.7
Brave,2012,464629,7.1
Secret of the Wings,2012,15428,7.0
Legend of the Guardians: The Owls of Ga'Hoole,2010,90082,6.9
Attack on Titan: Chronicle,2020,12489,8.4
Ghost in the Shell 2.0,2008,15719,7.8
Madagascar 3: Europe's Most Wanted,2012,209456,6.8
Luca,2021,212432,7.4
"Josee, the Tiger and the Fish",2020,10212,7.6
Kung Fu Panda 2,2011,341923,7.3
Mufasa: The Lion King,2024,72310,6.6
Despicable Me,2010,613618,7.6
Robot Dreams,2023,22088,7.6
Belle,2021,19255,7.0
Beavis and Butt-Head Do the Universe,2022,14170,7.0
KPop Demon Hunters,2025,26820,7.8
Arthur Christmas,2011,70702,7.1
The Pirates! Band of Misfits,2012,53152,6.7
"Batman: The Long Halloween, Part One",2021,21683,7.2
Jujutsu Kaisen 0,2021,51344,7.8
Rio,2011,263164,6.9
"Batman: The Long Halloween, Part Two",2021,18346,7.2
Rise of the Guardians,2012,202854,7.2
Winnie the Pooh,2011,29739,7.1
Monsters University,2013,411305,7.2
Dragon Ball Super: Super Hero,2022,17515,7.1
Summer Wars,2009,33046,7.4
Redline,2009,19198,7.5
That Christmas,2024,17179,6.8
Guillermo del Toro's Pinocchio,2022,121642,7.6
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020,17496,8.7
The Lego Movie,2014,404282,7.7
Mad God,2021,18414,6.8
The First Slam Dunk,2022,11658,8.0
Marcel the Shell with Shoes On,2021,31999,7.6
The Secret World of Arrietty,2010,112306,7.6
Elemental,2023,152784,7.0
One Piece Film: Red,2022,24943,6.7
ParaNorman,2012,114037,7.0
Suzume,2022,55244,7.6
How to Train Your Dragon 2,2014,387014,7.8
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,32808,8.5
A Cat in Paris,2010,12256,6.9
Despicable Me 2,2013,446504,7.3
Wallace & Gromit: Vengeance Most Fowl,2024,36572,7.5
The Little Prince,2015,69441,7.6
Wreck-It Ralph,2012,482537,7.7
From Up on Poppy Hill,2011,56648,7.4
Ernest & Celestine,2012,23452,7.8
Children Who Chase Lost Voices,2011,17924,7.1
Song of the Sea,2014,66147,8.0
Penguins of Madagascar,2014,109996,6.6
Nimona,2023,57883,7.5
Toy Story 4,2019,300057,7.6
The Good Dinosaur,2015,134843,6.7
The Remarkable Life of Ibelin,2024,12903,8.2
The Wind Rises,2013,107463,7.8
To the Forest of Firefly Lights,2011,23897,7.8
Inside Out,2015,875152,8.1
Wolf Children,2012,52600,8.1
Inside Out 2,2024,224571,7.5
Berserk: The Golden Age Arc I - The Egg of the King,2012,15285,7.5
Big Hero 6,2014,533338,7.8
Leap!,2016,25796,6.8
The Book of Life,2014,81648,7.2
Dragon Ball Z: Battle of Gods,2013,31153,7.1
Kung Fu Panda 3,2016,206572,7.1
Finding Dory,2016,321936,7.2
Frozen,2013,692353,7.4
My Life as a Zucchini,2016,31560,7.8
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,12761,7.7
Berserk: The Golden Age Arc III - The Advent,2013,12675,7.8
One Piece Film Z,2012,10777,7.7
Memoir of a Snail,2024,19617,7.8
Coco,2017,658320,8.4
How to Train Your Dragon: The Hidden World,2019,168009,7.4
Anomalisa,2015,77478,7.2
The Peanuts Movie,2015,51952,7.0
Evangelion: 3.0+1.01 Thrice Upon a Time,2021,16482,8.0
Hotel Transylvania 2,2015,154213,6.6
The Tale of The Princess Kaguya,2013,58834,8.0
The Garden of Words,2013,57491,7.4
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,2023,14513,7.6
Mars Express,2023,12490,7.5
The Croods: A New Age,2020,57975,6.9
Shaun the Sheep Movie,2015,45498,7.3
Zootopia,2016,585016,8.0
Soul,2020,411839,8.0
Encanto,2021,284287,7.2
The Wild Robot,2024,186169,8.2
Steins;Gate: The Movie - Load Region of Déjà Vu,2013,10602,7.8
Patema Inverted,2013,10838,7.3
The Jungle Book,2016,300387,7.3
Son of Batman,2014,32804,6.7
Look Back,2024,16423,7.8
Loving Vincent,2017,66565,7.8
Attack on Titan the Movie: The Last Attack,2024,18080,9.1
Stand by Me Doraemon,2014,10340,7.3
Solo Leveling: ReAwakening,2024,13998,8.8
When Marnie Was There,2014,52399,7.6
Ferdinand,2017,68421,6.7
Sing,2016,204446,7.1
Ne Zha 2,2025,11572,8.1
Chip 'n Dale: Rescue Rangers,2022,49433,6.9
Moana,2016,419770,7.6
Bilal: A New Breed of Hero,2015,19494,7.6
Cars 3,2017,138835,6.7
Incredibles 2,2018,353987,7.5
Predator: Killer of Killers,2025,36771,7.5
The Red Turtle,2016,40673,7.5
The Last: Naruto the Movie,2014,19277,7.6
Asterix and Obelix: Mansion of the Gods,2014,16415,6.9
Dragon Ball Z: Resurrection 'F',2015,25042,7.1
The Breadwinner,2017,29778,7.7
Puss in Boots: The Last Wish,2022,208311,7.8
The Lego Batman Movie,2017,183848,7.3
Cobain: Montage of Heck,2015,32881,7.5
The Boy and the Beast,2015,28675,7.6
Kubo and the Two Strings,2016,143464,7.7
Frozen II,2019,209272,6.8
Boruto: Naruto the Movie,2015,13030,7.7
Storks,2016,70418,6.8
Spider-Man: Into the Spider-Verse,2018,739691,8.4
Klaus,2019,216818,8.2
In This Corner of the World,2016,13328,7.8
Flow,2024,86759,7.9
Elio,2025,10682,7.0
Isle of Dogs,2018,202054,7.8
Raya and the Last Dragon,2021,181969,7.3
Peter Rabbit,2018,50984,6.6
Wolfwalkers,2020,42414,8.0
Your Name.,2016,362938,8.4
A Silent Voice: The Movie,2016,124134,8.1
Wish Dragon,2021,36735,7.2
Kingsglaive: Final Fantasy XV,2016,23860,6.7
Leo,2023,43027,7.0
Spies in Disguise,2019,60616,6.8
Paddington in Peru,2024,26691,6.7
Ralph Breaks the Internet,2018,197008,7.0
Gantz: O,2016,17426,7.1
The Lion King,2019,284705,6.8
Smallfoot,2018,44507,6.6
A Shaun the Sheep Movie: Farmageddon,2019,16768,6.8
