primaryTitle,startYear,numVotes,averageRating
The Friends of Eddie Coyle,1973,13086,7.4
The Long Goodbye,1973,41273,7.5
Magnum Force,1973,69839,7.2
Mean Streets,1973,124647,7.2
Paper Moon,1973,55540,8.1
Papillon,1973,142840,8.0
Serpico,1973,142068,7.7
Soylent Green,1973,73405,7.0
The Sting,1973,291982,8.2
Bring Me the Head of Alfredo Garcia,1974,22633,7.4
Death Wish,1974,46436,6.9
The Godfather Part II,1974,1440406,9.0
The Longest Yard,1974,22493,7.1
Mr. Majestyk,1974,10882,6.7
Murder on the Orient Express,1974,72453,7.2
The Return of the Pink Panther,1975,31282,7.0
The Sugarland Express,1974,21057,6.7
The Taking of Pelham One Two Three,1974,39163,7.6
Thunderbolt and Lightfoot,1974,30860,7.0
Going Places,1974,10419,7.1
Deewaar,1975,12470,8.0
Dog Day Afternoon,1975,283473,8.0
"Farewell, My Lovely",1975,10397,7.0
Female Trouble,1974,11351,7.1
French Connection II,1975,22533,6.7
Hard Times,1975,12958,7.2
Night Moves,1975,19997,7.1
Three Days of the Condor,1975,66362,7.4
The Yakuza,1974,11131,7.2
Assault on Precinct 13,1976,58938,7.3
Bugsy Malone,1976,20330,6.8
The Enforcer,1976,51567,6.7
Family Plot,1976,26159,6.8
The Killing of a Chinese Bookie,1976,15702,7.2
Marathon Man,1976,73291,7.4
Mr. Klein,1976,10133,7.5
Murder by Death,1976,44099,7.2
The Pink Panther Strikes Again,1976,33486,7.1
Silver Streak,1976,22760,6.9
Taxi Driver,1976,986339,8.2
The American Friend,1977,20189,7.4
Rolling Thunder,1977,13695,6.9
Blue Collar,1978,11691,7.5
Death on the Nile,1978,42625,7.3
Don,1978,13179,7.7
The Driver,1978,20788,7.1
Midnight Express,1978,91720,7.5
Odds and Evens,1978,10691,7.1
Revenge of the Pink Panther,1978,24362,6.6
Straight Time,1978,10805,7.4
And Justice for All,1979,43044,7.4
Escape from Alcatraz,1979,158215,7.5
The Great Train Robbery,1978,20878,6.9
Hardcore,1979,15845,7.1
Scum,1979,13933,7.5
The Wanderers,1979,12995,7.3
The Warriors,1979,116172,7.5
Atlantic City,1980,19123,7.3
The Blues Brothers,1980,223258,7.9
Brubaker,1980,20352,7.1
Dressed to Kill,1980,53230,7.1
Gloria,1980,12687,7.1
The Long Good Friday,1980,28103,7.5
The Long Riders,1980,14020,6.9
Stir Crazy,1980,31727,6.7
Blow Out,1981,70474,7.4
Body Heat,1981,42390,7.4
La Chèvre,1981,11381,7.3
Diva,1981,14845,7.1
The Great Muppet Caper,1981,17682,7.1
Ms .45,1981,13580,6.8
Outland,1981,33898,6.6
Pixote,1980,10106,7.9
The Postman Always Rings Twice,1981,26916,6.6
Prince of the City,1981,10205,7.4
The Professional,1981,18460,7.4
Thief,1981,44365,7.4
48 Hrs.,1982,90254,6.9
Dead Men Don't Wear Plaid,1982,24958,6.8
Deathtrap,1982,17044,7.0
Evil Under the Sun,1982,22615,7.0
L'Argent,1983,12667,7.4
Bad Boys,1983,18098,7.2
Gorky Park,1983,17478,6.7
Jaane Bhi Do Yaaro,1983,15215,8.3
The King of Comedy,1982,126820,7.8
The Outsiders,1983,105365,7.0
Psycho II,1983,33491,6.6
Risky Business,1983,105140,6.8
Rumble Fish,1983,40104,7.1
Scarface,1983,974185,8.3
Strange Brew,1983,19644,6.6
Sudden Impact,1983,50977,6.6
Beverly Hills Cop,1984,225459,7.4
Blood Simple,1984,110522,7.5
Body Double,1984,42885,6.8
The Cotton Club,1984,20576,6.6
The Falcon and the Snowman,1985,13664,6.8
The Element of Crime,1984,11885,6.7
The Hit,1984,10412,7.0
Wheels on Meals,1984,16345,7.0
Once Upon a Time in America,1984,397675,8.3
Phenomena,1985,31930,6.7
The Pope of Greenwich Village,1984,10586,6.6
Repo Man,1984,43915,6.8
A Soldier's Story,1984,12068,7.2
Streets of Fire,1984,26247,6.7
Top Secret!,1984,78920,7.2
After Hours,1985,89518,7.6
Clue,1985,117505,7.3
Fletch,1985,59847,6.9
Police Story,1985,45248,7.5
Prizzi's Honor,1985,27889,6.7
To Live and Die in L.A.,1985,44391,7.3
Witness,1985,109868,7.3
Year of the Dragon,1985,19022,6.8
At Close Range,1986,19369,6.9
Blue Velvet,1986,233831,7.7
Down by Law,1986,57347,7.6
Manhunter,1986,87760,7.2
Mona Lisa,1986,19708,7.3
River's Edge,1986,22240,6.9
Ruthless People,1986,31783,6.9
Something Wild,1986,22694,6.9
A Better Tomorrow,1986,26931,7.4
Project A 2,1987,12080,7.0
Adventures in Babysitting,1987,52167,6.9
Beverly Hills Cop II,1987,144258,6.6
The Hidden,1987,24536,7.0
House of Games,1987,25102,7.2
Lethal Weapon,1987,288200,7.6
Nayakan,1987,26623,8.6
No Way Out,1987,52093,7.1
Opera,1987,20969,6.9
Raising Arizona,1987,156648,7.3
RoboCop,1987,298621,7.6
Stakeout,1987,29615,6.7
Suspect,1987,12486,6.6
The Untouchables,1987,345355,7.8
Wall Street,1987,170653,7.3
A Better Tomorrow II,1987,11903,7.2
The Accused,1988,41960,7.1
Amsterdamned,1988,10221,6.6
Colors,1988,31643,6.7
Dirty Rotten Scoundrels,1988,83226,7.4
A Fish Called Wanda,1988,160920,7.5
Frantic,1988,60076,6.8
I'm Gonna Git You Sucka,1988,15866,6.6
Police Story 2,1988,24096,7.1
A Short Film About Killing,1988,23594,8.0
Midnight Run,1988,100001,7.5
Mississippi Burning,1988,122501,7.8
The Naked Gun: From the Files of Police Squad!,1988,198875,7.6
Running on Empty,1988,18975,7.6
Salaam Bombay!,1988,10614,7.9
Shoot to Kill,1988,15631,6.8
The Thin Blue Line,1988,27095,7.9
Without a Clue,1988,11620,6.9
As Tears Go By,1988,13529,7.0
Black Rain,1989,62473,6.6
Casualties of War,1989,50326,7.1
"The Cook, the Thief, His Wife & Her Lover",1989,43782,7.5
The Killer,1989,53263,7.7
Time of the Gypsies,1988,33759,8.1
Drugstore Cowboy,1989,42834,7.2
Heathers,1989,123216,7.1
Lethal Weapon 2,1989,196447,7.3
Mystery Train,1989,32128,7.5
Sea of Love,1989,47229,6.8
"See No Evil, Hear No Evil",1989,61853,6.8
Violent Cop,1989,13669,7.1
The Match Factory Girl,1990,12982,7.5
Bullet in the Head,1990,12263,7.5
The Godfather Part III,1990,441579,7.6
Goodfellas,1990,1336664,8.7
The Grifters,1990,32277,6.9
Henry: Portrait of a Serial Killer,1986,42880,7.0
King of New York,1990,45817,6.9
Miller's Crossing,1990,146443,7.7
Narrow Margin,1990,11545,6.6
Close-Up,1990,25289,8.2
La Femme Nikita,1990,79492,7.2
Quick Change,1990,23379,6.8
State of Grace,1990,27582,7.1
Wild at Heart,1990,108611,7.2
Tie Me Up! Tie Me Down!,1989,33599,7.0
Days of Being Wild,1990,27334,7.4
Boyz n the Hood,1991,163248,7.8
Bugsy,1991,32329,6.8
Cape Fear,1991,229673,7.3
Thalapathi,1991,14649,8.5
Dead Again,1991,31279,6.8
Delicatessen,1991,92611,7.5
Europa,1991,24089,7.5
Grand Canyon,1991,17207,6.8
A Brighter Summer Day,1991,14167,8.2
Johnny Stecchino,1991,12059,7.2
The Last Boy Scout,1991,117060,7.0
Riki-Oh: The Story of Ricky,1991,16026,7.0
Light Sleeper,1992,10783,6.9
The Naked Gun 2½: The Smell of Fear,1991,128596,6.9
New Jack City,1991,40903,6.6
One False Move,1991,15618,7.1
Point Break,1991,215646,7.3
Rush,1991,10557,6.7
The Silence of the Lambs,1991,1648302,8.6
Thelma & Louise,1991,185347,7.6
Trust,1990,12761,7.4
American Me,1992,11106,7.1
Bad Lieutenant,1992,50822,7.0
Batman Returns,1992,341472,7.1
Benny's Video,1992,19977,7.1
Man Bites Dog,1992,45217,7.4
The Crying Game,1992,62120,7.2
Deep Cover,1992,15565,7.0
Glengarry Glen Ross,1992,122991,7.7
Hoffa,1992,25609,6.6
Home Alone 2: Lost in New York,1992,431735,6.9
Supercop,1992,25726,7.0
Juice,1992,32102,7.0
Hard Boiled,1992,56392,7.7
Lethal Weapon 3,1992,184592,6.7
El Mariachi,1992,73538,6.8
My Cousin Vinny,1992,151389,7.6
The Player,1992,69674,7.5
Red Rock West,1993,27046,7.0
Reservoir Dogs,1992,1138948,8.3
Romper Stomper,1992,42828,6.8
Sneakers,1992,65106,7.1
Thunderheart,1992,18530,6.8
Baazigar,1993,31246,7.6
Bad Boy Bubby,1993,15695,7.3
"Blood In, Blood Out",1993,36422,7.9
A Bronx Tale,1993,174633,7.8
Carlito's Way,1993,241577,7.9
Falling Down,1993,218152,7.6
The Fugitive,1993,335476,7.8
In the Line of Fire,1993,119389,7.2
In the Name of the Father,1993,197392,8.1
Judgment Night,1993,20133,6.6
Kalifornia,1993,60707,6.7
Menace II Society,1993,67751,7.5
The Pelican Brief,1993,100828,6.6
A Perfect World,1993,91211,7.5
Iron Monkey,1993,17790,7.5
Sonatine,1993,24478,7.5
True Romance,1993,253826,7.9
Above the Rim,1994,17804,6.6
Bullets Over Broadway,1994,43382,7.4
Chungking Express,1994,104956,7.9
Clear and Present Danger,1994,113116,6.9
The Client,1994,77464,6.7
The Crow,1994,223992,7.5
Dolores Claiborne,1995,51151,7.4
Fresh,1994,15646,7.5
Heavenly Creatures,1994,69513,7.2
The Last Seduction,1994,27500,7.0
Léon: The Professional,1994,1310208,8.5
The Mask,1994,450598,7.0
The Monster,1994,11970,7.3
Natural Born Killers,1994,261497,7.2
Once Were Warriors,1994,38345,7.9
Pulp Fiction,1994,2350849,8.8
A Pure Formality,1994,13201,7.5
The Ref,1994,27746,6.9
Serial Mom,1994,36701,6.8
Shallow Grave,1994,69070,7.2
Bad Boys,1995,307072,6.8
The Basketball Diaries,1995,127716,7.3
Casino,1995,596817,8.2
Clockers,1995,24286,6.9
The Ceremony,1995,14724,7.5
Dead Man Walking,1995,105603,7.5
Dead Presidents,1995,25686,6.9
Desperado,1995,204355,7.1
Devil in a Blue Dress,1995,26435,6.8
Fallen Angels,1995,56857,7.5
